"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-logo-rojo--p304","cd-megadeth-logo-rojo-p304","Logo Rojo","304","VicRattlehead | Peace Sells... but Who's Buying?","Megadeth | Megadeth Vault | Thrash Metal | Peace Sells... but Who's Buying? | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/vic_my_last_logo_rojo.jpg","NO","catalog","45"
"","","cd-megadeth-lucretia--p6031","cd-megadeth-lucretia-p6031","Lucretia","6031","Singles | Rust in Peace","Megadeth | Megadeth Vault | Thrash Metal | Rust in Peace | remera | Megadeth Archive | Megadeth Singles","images/singles/lucretia.jpg","NO","catalog","58"
"","","cd-megadeth-made-to-kill--p246","cd-megadeth-made-to-kill-p246","Made to Kill","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/made_to_kill.jpg","NO","catalog","58"
"","","cd-megadeth-made-to-kill--p5067","cd-megadeth-made-to-kill-p5067","Made to Kill","5067","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive","images/hoddies_fmd/made_to_kill.jpg","NO","catalog","64"
"","","cd-megadeth-marty-bn--p29","cd-megadeth-marty-bn-p29","Marty BN","29","Musician","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Members","images/musicians/Marty_Friedman/marty_bn.jpg","NO","catalog","56"
"","","cd-megadeth-marty-dave--p300","cd-megadeth-marty-dave-p300","marty_dave","300","Tour","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Tour Archive","images/tours/Live/marty_dave.jpg","NO","catalog","62"
"","","cd-megadeth-so-far-so-good--mary-jane","cd-megadeth-so-far-so-good-mary-jane","Mary Jane","3","Album | So Far, So Good... So What!","Megadeth | Megadeth Vault | Thrash Metal | So Far, So Good... So What! | remera | Megadeth Archive | Megadeth Albums","images/albums/SFSGSW/3-mary_jane.jpg","NO","catalog","66"
"","","cd-megadeth-mary-jane--p6015","cd-megadeth-mary-jane-p6015","Mary Jane","6015","Singles | So Far, So Good... So What!","Megadeth | Megadeth Vault | Thrash Metal | So Far, So Good... So What! | remera | Megadeth Archive | Megadeth Singles","images/singles/mary_jane.jpg","NO","catalog","58"
"","","cd-megadeth-megadeth--mary-jane-fmd-edition","cd-megadeth-megadeth-mary-jane-fmd-edition","Mary Jane FMD Edition","6028","VicRattlehead","Megadeth | VicRattlehead | Vic Rattlehead | Nuevo | FMD Edition","images/fmd-edition-3d/vic_tour_2026/mary_jane_fmd_edition.jpg","SI","hero","94"
"","","cd-megadeth-merch-tour-v1--p5074","cd-megadeth-merch-tour-v1-p5074","Merch Tour V1","5074","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive | Tour Archive","images/tours/merch tour this was our life 2026/hoodies/merch_tour_v1.jpg","SI","featured","78"
"","","cd-megadeth-militar-rattlehead--p420","cd-megadeth-militar-rattlehead-p420","Militar Rattlehead","420","VicRattlehead","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/militar_rattlehead.jpg","NO","archive","45"
"","","cd-megadeth-negra-fmd-edition--p6022","cd-megadeth-negra-fmd-edition-p6022","Negra — FMD Edition","6022","Orígenes","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive","images/orígenes/frente_negra_fmd_edition.png","NO","catalog","55"
"","","cd-megadeth-negra-v1--p6022","cd-megadeth-negra-v1-p6022","Negra — V1","6022","Orígenes","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive","images/orígenes/frente_negra_v1.png","NO","catalog","55"
"","","cd-megadeth-negra-v2--p6022","cd-megadeth-negra-v2-p6022","Negra — V2","6022","Orígenes","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive","images/orígenes/frente_negra_v2.png","NO","catalog","55"
"","","cd-megadeth-negra-v3--p6022","cd-megadeth-negra-v3-p6022","Negra — V3","6022","Orígenes","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive","images/orígenes/frente_negra_v3.png","NO","catalog","55"
"","","cd-megadeth-the-sick-the-dying-and-the-dead--night-stalkers","cd-megadeth-the-sick-the-dying-and-the-dead-night-stalkers","Night Stalkers","5022","Singles | The Sick, the Dying... and the Dead!","Megadeth | Megadeth Vault | Thrash Metal | The Sick, the Dying... and the Dead! | remera | Megadeth Archive | Megadeth Singles","images/singles/night_stalkers.jpg","NO","catalog","58"
"","","cd-megadeth-nuclear-vic-bomb--p423","cd-megadeth-nuclear-vic-bomb-p423","Nuclear Vic Bomb","423","VicRattlehead","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/nuclear_vic_bomb.jpg","NO","archive","45"
